,Date,Poll,Total voter,Yes,Yes(percent),No,No(percent),No comment,No comment(percent)
11,২৬ নভেম্বর ২০২২,"মানুষ ২৫ হাজার টাকার জন্য জেলে যাচ্ছেন, আর হাজার হাজার কোটি টাকার ঋণখেলাপিরা বহাল তবিয়তে আছেন, এটা মেনে নেওয়া যায় না—সাবেক ডাক ও টেলিযোগাযোগ প্রতিমন্ত্রী তারানা হালিমের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৯৪৫৩ জন,হ্যাঁ (৯২৬৪ জন),৯৮%,না (৯৫ জন),১%,মন্তব্য নেই (৯৫ জন),১%
12,২৫ নভেম্বর ২০২২,বিএনপি প্রতিদিন দেশের বিভিন্ন স্থানে নির্বিঘ্নে সভা-সমাবেশ করছে বলে মন্তব্য করেছেন আওয়ামী লীগের সাধারণ সম্পাদক ও সেতুমন্ত্রী ওবায়দুল কাদের। তাঁর এ বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৭৭৪৩ জন,হ্যাঁ (৬৯৭ জন),৯%,না (৬৯৬৯ জন),৯০%,মন্তব্য নেই (৭৭ জন),১%
13,২৪ নভেম্বর ২০২২,সরকারের তরফ থেকে সহযোগিতা না থাকলে নির্বাচনে কাঙ্ক্ষিত মাত্রায় সফলতা আসবে না—প্রধান নির্বাচন কমিশনার কাজী হাবিবুল আউয়ালের এই বক্তব্য আপনি কি সমর্থন করেন?,ভোট দিয়েছেন ৫৪২৭ জন,হ্যাঁ (৫১৫৬ জন),৯৫%,না (১৬৩ জন),৩%,মন্তব্য নেই (১০৯ জন),২%
14,২৩ নভেম্বর ২০২২,বিএনপির সমাবেশের দিন আওয়ামী লীগ রাজপথে থাকলে সংঘাত হতে পারে বলে মনে করছেন অধ্যাপক আবুল কাসেম ফজলুল হক। আপনি কি তাঁর সঙ্গে একমত?,ভোট দিয়েছেন ৫৪৫৮ জন,হ্যাঁ (৫২৯৪ জন),৯৭%,না (১০৯ জন),২%,মন্তব্য নেই (৫৫ জন),১%
15,২২ নভেম্বর ২০২২,দেশে আগামী ফেব্রুয়ারি মাস পর্যন্ত মূল্যস্ফীতি ধারাবাহিকভাবে কমবে—পরিকল্পনামন্ত্রী এম এ মান্নানের এই বক্তব্যে আপনি কি আস্থা রাখেন?,ভোট দিয়েছেন ৪৬৭৩ জন,হ্যাঁ (৩২৭ জন),৭%,না (৪২৯৯ জন),৯২%,মন্তব্য নেই (৪৭ জন),১%
16,২১ নভেম্বর ২০২২,দাম না বাড়িয়ে লুণ্ঠনমূলক ব্যয় ও অদক্ষতা কমিয়ে বিদ্যুৎ খাতে ভর্তুকি কমানো যেত বলে মনে করছেন ক্যাবের জ্যেষ্ঠ সহসভাপতি এম শামসুল আলম। আপনি কি তাঁর সঙ্গে একমত?,ভোট দিয়েছেন ৩৬৫৮ জন,হ্যাঁ (৩৫৮৫ জন),৯৮%,না (৭৩ জন),২%,মন্তব্য নেই (০ জন),০%
17,১৯ নভেম্বর ২০২২,"চালের দাম আর বাড়ার সম্ভাবনা নেই, খাদ্যসংকটেরও কোনো সম্ভাবনা নেই—খাদ্যমন্ত্রী সাধন চন্দ্র মজুমদারের এ বক্তব্যে আপনি কি আস্থা রাখেন?",ভোট দিয়েছেন ৪৪৪৬ জন,হ্যাঁ (৪৪৫ জন),১০%,না (৩৯৫৭ জন),৮৯%,মন্তব্য নেই (৪৪ জন),১%
18,১৮ নভেম্বর ২০২২,টুইটারের কর্মীদের চাকরিতে থাকতে হলে অতিরিক্ত কর্মঘণ্টা কাজ করার শর্ত দিয়েছিলেন নতুন মালিক ইলন মাস্ক। তবে এতে অধিকাংশ কর্মী রাজি হননি। এরপরই অবিলম্বে সব অফিস বন্ধের সিদ্ধান্ত জানায় টুইটার। টুইটারের এমন অস্থিরতা অন্যান্য সামাজিক যোগাযোগমাধ্যমেও ছড়িয়ে পড়তে পারে বলে আপনি মনে করেন কি?,ভোট দিয়েছেন ২৮৩৮ জন,হ্যাঁ (৫৯৬ জন),২১%,না (২১৫৭ জন),৭৬%,মন্তব্য নেই (৮৫ জন),৩%
19,১৭ নভেম্বর ২০২২,বারবার দুর্ভিক্ষের কথা বললে আতঙ্ক তৈরি হয়ে একটি গোষ্ঠী সুযোগ নিতে পারে—গবেষণাপ্রতিষ্ঠান সানেমের নির্বাহী পরিচালক সেলিম রায়হানের এই বক্তব্য যৌক্তিক বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৪২৪২ জন,হ্যাঁ (৪০৩০ জন),৯৫%,না (১৭০ জন),৪%,মন্তব্য নেই (৪২ জন),১%
20,১৬ নভেম্বর ২০২২,দুর্নীতি দেশের উন্নয়ন ম্লান করে দিচ্ছে—পরিকল্পনা প্রতিমন্ত্রী শামসুল আলমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৫৫২৯ জন,হ্যাঁ (৫৪৭৪ জন),৯৯%,না (৫৫ জন),১%,মন্তব্য নেই (০ জন),০%
21,১৫ নভেম্বর ২০২২,"ঢাকার সঙ্গে যুক্ত পাঁচ মহাসড়কে তিন চাকার যান (ইজিবাইক, সিএনজিচালিত অটোরিকশা, নছিমন, করিমন, ভটভটি) চলাচল বন্ধে কড়াকড়ি আরোপের সিদ্ধান্ত নিয়েছে সরকার। এটা সফল হবে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৫০৩৩ জন,হ্যাঁ (৬৫৪ জন),১৩%,না (৪৩২৮ জন),৮৬%,মন্তব্য নেই (৫০ জন),১%
22,১৪ নভেম্বর ২০২২,কাগজের অস্বাভাবিক মূল্যবৃদ্ধির প্রতিবাদ জানিয়ে অবিলম্বে এ বিষয়ে সরকারের হস্তক্ষেপ দাবি করেছে ছাত্র ইউনিয়ন। আপনি কি তা সমর্থন করেন?,ভোট দিয়েছেন ৫৩৯০ জন,হ্যাঁ (৫১৭৪ জন),৯৬%,না (১৬২ জন),৩%,মন্তব্য নেই (৫৪ জন),১%
23,১৩ নভেম্বর ২০২২,দেশের সব অবৈধ ইটভাটার কার্যক্রম ও ইটভাটায় জ্বালানি হিসেবে কাঠের ব্যবহার বন্ধ নিশ্চিত করতে জেলা প্রশাসকদের সাত দিনের মধ্যে কার্যকর নির্দেশনা দিতে বলেছেন হাইকোর্ট। উচ্চ আদালতের এ নির্দেশ সংশ্লিষ্ট ব্যক্তিরা ঠিকমতো পালন করতে পারবেন বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৩০৫৭ জন,হ্যাঁ (৯২ জন),৩%,না (২৯৩৫ জন),৯৬%,মন্তব্য নেই (৩১ জন),১%
24,১২ নভেম্বর ২০২২,দেশে ডেঙ্গু চিকিৎসায় কোনো ঘাটতি হয়নি—স্বাস্থ্যমন্ত্রী জাহিদ মালেকের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৩৯০৩ জন,হ্যাঁ (২৩৪ জন),৬%,না (৩৬৩০ জন),৯৩%,মন্তব্য নেই (৩৯ জন),১%
25,১১ নভেম্বর ২০২২,আইএমএফের ঋণ জনগণের জন্য বোঝা না হয়ে সংকট মোকাবিলায় সহায়ক হবে—আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৫৮৯৬ জন,হ্যাঁ (৫৯০ জন),১০%,না (৫২৪৭ জন),৮৯%,মন্তব্য নেই (৫৯ জন),১%
26,১০ নভেম্বর ২০২২,স্থানীয় জনপ্রতিনিধিদের অনেকেই নিজেদের দায়িত্ব সম্পর্কে জানেন না—স্থানীয় সরকারমন্ত্রী মো. তাজুল ইসলামের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৪৬৮৩ জন,হ্যাঁ (৪৫৪৩ জন),৯৭%,না (৯৪ জন),২%,মন্তব্য নেই (৪৭ জন),১%
27,৯ নভেম্বর ২০২২,সরকারি খরচে কর্মকর্তাদের সব ধরনের বিদেশ ভ্রমণ বন্ধ করা হয়েছে– অর্থনৈতিক সংকট কাটাতে এটা ভূমিকা রাখবে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৫৩০৫ জন,হ্যাঁ (৪৪০৩ জন),৮৩%,না (৮৪৯ জন),১৬%,মন্তব্য নেই (৫৩ জন),১%
28,৮ নভেম্বর ২০২২,বুয়েট শিক্ষার্থী ফারদিন নূর হত্যাকাণ্ডে জড়িত ব্যক্তিরা গ্রেপ্তার হবে বলে আপনি মনে করেন কি?,ভোট দিয়েছেন ৫৩৬২ জন,হ্যাঁ (৯১২ জন),১৭%,না (৪৩৪৩ জন),৮১%,মন্তব্য নেই (১০৭ জন),২%
29,৭ নভেম্বর ২০২২,সরকারের পদত্যাগ নিশ্চিত না করে কেউ আর ঘরে ফিরবে না—বিএনপি নেতা–কর্মীরা মির্জা ফখরুল ইসলাম আলমগীরের এই কথা রাখবেন বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৩১১৫৯ জন,হ্যাঁ (৩১১৬ জন),১০%,না (২৭৭৩২ জন),৮৯%,মন্তব্য নেই (৩১২ জন),১%
30,৬ নভেম্বর ২০২২,পরীক্ষার্থীদের নির্বিঘ্নে পরীক্ষাকেন্দ্রে যাওয়ার সুযোগ করে দিতে অভিভাবকদের সেখানে ভিড় না করার আহ্বান জানিয়েছেন শিক্ষামন্ত্রী দীপু মনি। এতে পরীক্ষাকেন্দ্রের সামনে ভিড় কমবে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৩০৭১ জন,হ্যাঁ (৩৯৯ জন),১৩%,না (২৬১০ জন),৮৫%,মন্তব্য নেই (৬১ জন),২%
31,৫ নভেম্বর ২০২২,"যে গণতন্ত্রের জন্য মুক্তিযুদ্ধ হয়েছিল, সেটি এখন খুঁজে পাওয়া যায় না বলে মন্তব্য করেছেন সংবিধান প্রণয়ন কমিটির সদস্য অধ্যাপক আবু সাইয়িদ। আপনি কি তাঁর সঙ্গে একমত?",ভোট দিয়েছেন ৪৫৯২ জন,হ্যাঁ (৪০৮৭ জন),৮৯%,না (৫০৫ জন),১১%,মন্তব্য নেই (০ জন),০%
32,৪ নভেম্বর ২০২২,"ইভিএমের চেয়ে বড় সমস্যা নির্বাচন কমিশন নিয়ে। কারণ, কমিশনের ওপর মানুষের আস্থা নেই। তাই তাদের যদি ইভিএম দেওয়া হয়, তবে সেটি আরও বড় সংকটের দিকে ঠেলে দেবে—সুশাসনের জন্য নাগরিকের (সুজন) সম্পাদক বদিউল আলম মজুমদারের এ বক্তব্য যৌক্তিক বলে মনে করেন কি?",ভোট দিয়েছেন ৩৯৭৭ জন,হ্যাঁ (৩৫০০ জন),৮৮%,না (৪৩৭ জন),১১%,মন্তব্য নেই (৪০ জন),১%
33,৩ নভেম্বর ২০২২,চকচকে করতে গিয়ে বছরে ১৬ থেকে ১৭ লাখ মেট্রিক টন চাল কমে যায় জানিয়ে পুষ্টিগুণসম্পন্ন চাল খেতে দেশবাসীর প্রতি আহ্বান জানিয়েছেন খাদ্যমন্ত্রী সাধন চন্দ্র মজুমদার। তাঁর এই আহ্বানে লোকজন সাড়া দেবে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ২৫৬৬ জন,হ্যাঁ (৫৬৫ জন),২২%,না (১৯৫০ জন),৭৬%,মন্তব্য নেই (৫১ জন),২%
34,২ নভেম্বর ২০২২,"ভারতের সঙ্গে হারলেও বাংলাদেশ দল যেমন খেলেছে, তাতে গর্ব করার মতো অনেক কিছু আছে—সাবেক অধিনায়ক গাজী আশরাফ হোসেনের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৪৭০১ জন,হ্যাঁ (৩১০৩ জন),৬৬%,না (১৫০৪ জন),৩২%,মন্তব্য নেই (৯৪ জন),২%
35,১ নভেম্বর ২০২২,বাজারে কোনো চাল প্রতি কেজি ৫০ টাকার নিচে না থাকলেও সরকার ৪২ টাকা কেজি দরে ৫ লাখ টন চাল কেনার ঘোষণা দিয়েছে। এতে চাল কেনার লক্ষ্য পূরণ হবে বলে কি আপনি মনে করেন?,ভোট দিয়েছেন ৩৬১৭ জন,হ্যাঁ (১৮১ জন),৫%,না (৩৪০০ জন),৯৪%,মন্তব্য নেই (৩৬ জন),১%
36,৩১ অক্টোবর ২০২২,সরকারি কর্ম কমিশন (পিএসসি) পরিচালিত কোনো পরীক্ষার প্রশ্নপত্র ফাঁসের অপরাধে সর্বোচ্চ ১০ বছরের কারাদণ্ডের বিধান রেখে নতুন আইন করছে সরকার। এতে প্রশ্নপত্র ফাঁস বন্ধ হবে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৩৩৭৪ জন,হ্যাঁ (৩৩৭ জন),১০%,না (৩০০৩ জন),৮৯%,মন্তব্য নেই (৩৪ জন),১%
37,৩০ অক্টোবর ২০২২,দেশের সব সরকারি প্রাথমিক বিদ্যালয়ে এক পালায় (শিফট) শিক্ষা কার্যক্রম পরিচালনার পরিকল্পনা করেছে সরকার। আপনি কি তা সমর্থন করেন?,ভোট দিয়েছেন ৩১৮৭ জন,হ্যাঁ (২৬৭৭ জন),৮৪%,না (৪১৪ জন),১৩%,মন্তব্য নেই (৯৬ জন),৩%
38,২৯ অক্টোবর ২০২২,"সরকার জঙ্গিবাদ ও অগ্নিসন্ত্রাসের নামে নতুন রাজনৈতিক খেলা শুরু করতে চাইছে, কিন্তু ওই অস্ত্র দিয়ে আর কাজ হবে না—বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরের এ বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫৫৫৭ জন,হ্যাঁ (৩৮৯০ জন),৭০%,না (১৫৫৬ জন),২৮%,মন্তব্য নেই (১১১ জন),২%
39,২৮ অক্টোবর ২০২২,২৯ সরকারি প্রতিষ্ঠানকে গুরুত্বপূর্ণ তথ্য পরিকাঠামোর আওতায় আনা হলেও এসব প্রতিষ্ঠান থেকে সাংবাদিকদের তথ্য পাওয়ার ক্ষেত্রে বাধার সৃষ্টি হবে না বলে জানিয়েছেন তথ্য ও যোগাযোগপ্রযুক্তি প্রতিমন্ত্রী জুনাইদ আহ্‌মেদ। তাঁর এ বক্তব্যে আপনার আস্থা আছে কি?,ভোট দিয়েছেন ১১৯৭২ জন,হ্যাঁ (৮৩৮০ জন),৭০%,না (৩৪৭২ জন),২৯%,মন্তব্য নেই (১২০ জন),১%
40,২৭ অক্টোবর ২০২২,"অর্থনৈতিক সংকট প্রশমনে কী করা উচিত, কত দিনে সংকটের সমাধান করা যাবে, তার একটি রূপরেখা থাকা উচিত—অর্থনীতিবিদ আহসান এইচ মনসুরের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৩৩৮৭ জন,হ্যাঁ (৩২৮৫ জন),৯৭%,না (৬৮ জন),২%,মন্তব্য নেই (৩৪ জন),১%
41,২৬ অক্টোবর ২০২২,"দলটাকে বাঁচান, টাকাপয়সার লেনদেন বন্ধ করেন—দলের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই আহ্বানে আওয়ামী লীগ নেতারা সাড়া দেবেন বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ১২৭৭৬ জন,হ্যাঁ (৭৬৬৬ জন),৬০%,না (৪৯৮৩ জন),৩৯%,মন্তব্য নেই (১২৮ জন),১%
42,২৫ অক্টোবর ২০২২,বিদ্যুৎ নিয়ে এত শঙ্কিত হওয়ার কিছু নেই—প্রতিমন্ত্রী নসরুল হামিদের এ কথার ওপর আপনি কি আস্থা রাখেন?,ভোট দিয়েছেন ২৩০০৩ জন,হ্যাঁ (১৭৪৮২ জন),৭৬%,না (৫৫২১ জন),২৪%,মন্তব্য নেই (০ জন),০%
43,২৪ অক্টোবর ২০২২,"প্রতিবছর ঘূর্ণিঝড় হবে, এটি ধরে নিয়েই আমাদের প্রস্তুতি নিতে হবে—আবহাওয়া অধিদপ্তরের সাবেক পরিচালক সমরেন্দ্র কর্মকারের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫৪০৭ জন,হ্যাঁ (৫১৯১ জন),৯৬%,না (১৬২ জন),৩%,মন্তব্য নেই (৫৪ জন),১%
44,২৩ অক্টোবর ২০২২,"দেশের কৃষি ও শিল্প খাতের সুরক্ষায় যা যা দরকার, সরকার করবে। এ জন্য প্রয়োজনে দিনের বেলায় বিদ্যুতের ব্যবহার বন্ধ রাখার পরামর্শ দিয়েছেন প্রধানমন্ত্রীর জ্বালানিবিষয়ক উপদেষ্টা তৌফিক-ই-ইলাহী চৌধুরী। তাঁর এ পরামর্শে বিদ্যুৎ নিয়ে দেশবাসীর ভোগান্তি আরও বাড়বে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৫০৩১ জন,হ্যাঁ (৪৭২৯ জন),৯৪%,না (২৫২ জন),৫%,মন্তব্য নেই (৫০ জন),১%
45,২১ অক্টোবর ২০২২,সরকার সবকিছুর দায় রাশিয়া-ইউক্রেন যুদ্ধ ও করোনার ওপর চাপিয়ে পার পেতে চাইছে—বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ১০১৭৮ জন,হ্যাঁ (৬৯২১ জন),৬৮%,না (৩১৫৫ জন),৩১%,মন্তব্য নেই (১০২ জন),১%
46,২০ অক্টোবর ২০২২,রাজনৈতিক কর্মসূচি ঘিরে অতি উৎসাহী না হয়ে পেশাদারির সঙ্গে পুলিশ কর্মকর্তাদের দায়িত্ব পালনের নির্দেশ দিয়েছেন ডিএমপি কমিশনার মোহা. শফিকুল ইসলাম। পুলিশ কর্মকর্তারা তা করবেন বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৩৬৬৬ জন,হ্যাঁ (১৪৭ জন),৪%,না (৩৪৮৩ জন),৯৫%,মন্তব্য নেই (৩৭ জন),১%
47,১৯ অক্টোবর ২০২২,এনআইডি সেবা নির্বাচন কমিশনের কাছ থেকে স্বরাষ্ট্র মন্ত্রণালয়ে নিয়ে গেলে লোকজন আর ভোটার হতে চাইবে না—সাবেক সিইসি কাজী রকিবউদ্দীন আহমদের এ বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৪৫৬৮ জন,হ্যাঁ (৪০৬৬ জন),৮৯%,না (৩৬৫ জন),৮%,মন্তব্য নেই (১৩৭ জন),৩%
48,১৮ অক্টোবর ২০২২,"নির্বাচন কমিশনার মো. আলমগীর বলেছেন, গাইবান্ধা-৫ আসনের উপনির্বাচনে যেসব কর্মকর্তা অনিয়মে জড়িত ছিলেন, তাঁদের সবার বিরুদ্ধে শাস্তিমূলক ব্যবস্থা নেওয়া হবে। সবার শাস্তি হবে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৪৬৪৫ জন,হ্যাঁ (৬০৪ জন),১৩%,না (৩৯৯৫ জন),৮৬%,মন্তব্য নেই (৪৬ জন),১%
49,১৭ অক্টোবর ২০২২,"সরকার যে কাজই করুক, বিচার-বিবেচনা না করে বিএনপি অন্ধ সমালোচনা শুরু করে—ওবায়দুল কাদেরের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৭৩৮৯ জন,হ্যাঁ (৩১০৩ জন),৪২%,না (৪১৩৮ জন),৫৬%,মন্তব্য নেই (১৪৮ জন),২%
50,১৬ অক্টোবর ২০২২,"লুটপাট, মাস্তানি দেশের উন্নয়ন আকাঙ্ক্ষাকে খারাপ দিকে নিয়ে যেতে পারে—অর্থনীতিবিদ ওয়াহিদউদ্দিন মাহমুদের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৫৮৪২ জন,হ্যাঁ (৫৭৮৪ জন),৯৯%,না (৫৮ জন),১%,মন্তব্য নেই (০ জন),০%
51,১৫ অক্টোবর ২০২২,"বাংলাদেশের ৬৮ শতাংশ মানুষ প্রয়োজনীয় খাদ্য কিনতে হিমশিম খাচ্ছে—ডব্লিউএফপির এই তথ্য স্বীকার করে সরকারের দ্রুত দরিদ্রদের পাশে দাঁড়ানো উচিত বলে মন্তব্য করেছেন ইউএনডিপি, বাংলাদেশের প্রধান অর্থনীতিবিদ ড. নাজনীন আহমেদ। আপনি কি তাঁর সঙ্গে একমত?",ভোট দিয়েছেন ৭৯৩৯ জন,হ্যাঁ (৭৬২১ জন),৯৬%,না (৩১৮ জন),৪%,মন্তব্য নেই (০ জন),০%
52,১৪ অক্টোবর ২০২২,ডেঙ্গুতে আক্রান্ত হয়ে এক দিনে হাসপাতালে আরও ৩১০ জন ভর্তি হয়েছেন। এ নিয়ে গত দুই সপ্তাহে ডেঙ্গুতে আক্রান্ত হয়ে হাসপাতালে ভর্তি হলেন ৭ হাজার ৫০০ জন। পরিস্থিতি মোকাবিলায় যথেষ্ট পদক্ষেপ নেওয়া হচ্ছে বলে আপনি কি মনে করেন?,ভোট দিয়েছেন ৪০৪৪ জন,হ্যাঁ (১২১ জন),৩%,না (৩৮৮২ জন),৯৬%,মন্তব্য নেই (৪০ জন),১%
53,১৩ অক্টোবর ২০২২,"নির্বাচন কমিশনের নির্দেশনার পরেও গাইবান্ধার উপনির্বাচনে যেসব প্রিসাইডিং কর্মকর্তা ভোটকক্ষের শৃঙ্খলা ফেরাতে পদক্ষেপ নেননি, তাঁদের বিরুদ্ধে ব্যবস্থা নেওয়া হবে বলে আপনি কি মনে করেন?",ভোট দিয়েছেন ৩৯৭৩ জন,হ্যাঁ (১৫৯ জন),৪%,না (৩৭৭৪ জন),৯৫%,মন্তব্য নেই (৪০ জন),১%
54,১২ অক্টোবর ২০২২,সবাই আইনের প্রতি শ্রদ্ধাশীল না হলে নির্বাচন কমিশন এখানে বসে সুন্দর নির্বাচন উপহার দিতে পারবে না—সিইসি কাজী হাবিবুল আউয়ালের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৪১৬৫ জন,হ্যাঁ (৩৯৯৮ জন),৯৬%,না (১২৫ জন),৩%,মন্তব্য নেই (৪২ জন),১%
